Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Received variable values from ps
Connected to both PSs
2017-05-09 20:59:51.996147: step 0, loss = 4.68 (72.3 examples/sec; 1.769 sec/batch)
2017-05-09 20:59:53.042485: step 10, loss = 4.41 (1223.4 examples/sec; 0.105 sec/batch)
2017-05-09 20:59:54.306129: step 20, loss = 4.13 (1012.9 examples/sec; 0.126 sec/batch)
2017-05-09 20:59:55.578043: step 30, loss = 4.31 (1006.4 examples/sec; 0.127 sec/batch)
2017-05-09 20:59:56.859971: step 40, loss = 4.18 (998.5 examples/sec; 0.128 sec/batch)
2017-05-09 20:59:58.129732: step 50, loss = 4.12 (1008.0 examples/sec; 0.127 sec/batch)
2017-05-09 20:59:59.432054: step 60, loss = 3.94 (982.9 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:00.695422: step 70, loss = 4.00 (1013.2 examples/sec; 0.126 sec/batch)
2017-05-09 21:00:01.987629: step 80, loss = 3.88 (990.6 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:03.273090: step 90, loss = 3.89 (995.8 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:04.650797: step 100, loss = 3.95 (929.1 examples/sec; 0.138 sec/batch)
2017-05-09 21:00:05.822036: step 110, loss = 3.60 (1092.9 examples/sec; 0.117 sec/batch)
2017-05-09 21:00:07.087530: step 120, loss = 3.59 (1011.5 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:08.356303: step 130, loss = 3.69 (1008.8 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:09.665431: step 140, loss = 3.63 (977.7 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:10.918790: step 150, loss = 3.69 (1021.3 examples/sec; 0.125 sec/batch)
2017-05-09 21:00:12.175758: step 160, loss = 3.85 (1018.3 examples/sec; 0.126 sec/batch)
2017-05-09 21:00:13.466477: step 170, loss = 3.36 (991.7 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:14.763081: step 180, loss = 3.82 (987.2 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:16.020158: step 190, loss = 3.38 (1018.2 examples/sec; 0.126 sec/batch)
2017-05-09 21:00:17.408831: step 200, loss = 3.40 (921.7 examples/sec; 0.139 sec/batch)
2017-05-09 21:00:18.582853: step 210, loss = 3.42 (1090.3 examples/sec; 0.117 sec/batch)
2017-05-09 21:00:19.893889: step 220, loss = 3.41 (976.3 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:21.199584: step 230, loss = 3.33 (980.3 examples/sec; 0.131 sec/batch)
2017-05-09 21:00:22.502635: step 240, loss = 3.38 (982.3 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:23.795937: step 250, loss = 3.34 (989.7 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:25.069233: step 260, loss = 3.31 (1005.3 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:26.332909: step 270, loss = 3.19 (1012.9 examples/sec; 0.126 sec/batch)
2017-05-09 21:00:27.594742: step 280, loss = 3.07 (1014.4 examples/sec; 0.126 sec/batch)
2017-05-09 21:00:28.878606: step 290, loss = 3.00 (997.0 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:30.247613: step 300, loss = 3.14 (935.0 examples/sec; 0.137 sec/batch)
2017-05-09 21:00:31.413050: step 310, loss = 3.16 (1098.3 examples/sec; 0.117 sec/batch)
2017-05-09 21:00:32.678112: step 320, loss = 2.92 (1011.8 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:33.967258: step 330, loss = 3.19 (992.9 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:35.236726: step 340, loss = 2.90 (1008.3 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:36.533934: step 350, loss = 3.01 (986.7 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:37.806399: step 360, loss = 2.77 (1005.9 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:39.111367: step 370, loss = 3.09 (980.9 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:40.409083: step 380, loss = 2.88 (986.3 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:41.724839: step 390, loss = 2.90 (972.8 examples/sec; 0.132 sec/batch)
2017-05-09 21:00:43.145668: step 400, loss = 2.86 (900.9 examples/sec; 0.142 sec/batch)
2017-05-09 21:00:44.331811: step 410, loss = 2.84 (1079.1 examples/sec; 0.119 sec/batch)
2017-05-09 21:00:45.599852: step 420, loss = 2.78 (1009.4 examples/sec; 0.127 sec/batch)
2017-05-09 21:00:46.896573: step 430, loss = 2.70 (987.1 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:48.181750: step 440, loss = 2.78 (996.0 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:49.460678: step 450, loss = 2.83 (1000.8 examples/sec; 0.128 sec/batch)
2017-05-09 21:00:50.750040: step 460, loss = 2.75 (992.7 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:52.036888: step 470, loss = 2.58 (994.7 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:53.333233: step 480, loss = 2.60 (987.4 examples/sec; 0.130 sec/batch)
2017-05-09 21:00:54.627741: step 490, loss = 2.63 (988.8 examples/sec; 0.129 sec/batch)
2017-05-09 21:00:56.042160: step 500, loss = 2.79 (905.0 examples/sec; 0.141 sec/batch)
2017-05-09 21:00:57.217202: step 510, loss = 2.47 (1089.3 examples/sec; 0.118 sec/batch)
