Connecting to port  12362
Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
Received variable values from ps
2017-05-07 20:12:42.851133: step 0, loss = 4.68 (75.3 examples/sec; 1.699 sec/batch)
2017-05-07 20:12:43.895775: step 10, loss = 4.55 (1225.3 examples/sec; 0.104 sec/batch)
2017-05-07 20:12:45.159798: step 20, loss = 4.24 (1012.6 examples/sec; 0.126 sec/batch)
2017-05-07 20:12:46.433598: step 30, loss = 4.27 (1004.9 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:47.709824: step 40, loss = 4.18 (1003.0 examples/sec; 0.128 sec/batch)
2017-05-07 20:12:49.010456: step 50, loss = 4.13 (984.1 examples/sec; 0.130 sec/batch)
2017-05-07 20:12:50.300918: step 60, loss = 4.28 (991.9 examples/sec; 0.129 sec/batch)
2017-05-07 20:12:51.572350: step 70, loss = 4.10 (1006.7 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:52.881072: step 80, loss = 4.06 (978.1 examples/sec; 0.131 sec/batch)
2017-05-07 20:12:54.175819: step 90, loss = 3.98 (988.6 examples/sec; 0.129 sec/batch)
2017-05-07 20:12:55.564379: step 100, loss = 3.83 (921.8 examples/sec; 0.139 sec/batch)
2017-05-07 20:12:56.698747: step 110, loss = 3.86 (1128.4 examples/sec; 0.113 sec/batch)
2017-05-07 20:12:57.972616: step 120, loss = 3.77 (1004.8 examples/sec; 0.127 sec/batch)
2017-05-07 20:12:59.242567: step 130, loss = 3.81 (1007.9 examples/sec; 0.127 sec/batch)
2017-05-07 20:13:00.506305: step 140, loss = 3.72 (1012.9 examples/sec; 0.126 sec/batch)
2017-05-07 20:13:01.758830: step 150, loss = 3.65 (1021.9 examples/sec; 0.125 sec/batch)
2017-05-07 20:13:03.060632: step 160, loss = 3.66 (983.3 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:04.362021: step 170, loss = 3.48 (983.6 examples/sec; 0.130 sec/batch)
2017-05-07 20:13:05.656860: step 180, loss = 3.79 (988.5 examples/sec; 0.129 sec/batch)
2017-05-07 20:13:06.937380: step 190, loss = 3.70 (999.6 examples/sec; 0.128 sec/batch)
2017-05-07 20:13:08.321114: step 200, loss = 3.67 (925.0 examples/sec; 0.138 sec/batch)
2017-05-07 20:13:09.463265: step 210, loss = 3.53 (1120.7 examples/sec; 0.114 sec/batch)
2017-05-07 20:13:10.725282: step 220, loss = 3.39 (1014.2 examples/sec; 0.126 sec/batch)
2017-05-07 20:13:12.006129: step 230, loss = 3.37 (999.3 examples/sec; 0.128 sec/batch)
